[2026-05-29 22:29:05] ============================================================
[2026-05-29 22:29:05] Phase 2: 차트 생성 시작 (배치 9999개/회)
[2026-05-29 22:29:05] 차트 미생성 3,972개 | 오늘 처리 3972개
[2026-05-29 22:40:44]   [309/3972] ✅ 012410
[2026-05-29 22:40:47]   [310/3972] ✅ 950070
[2026-05-29 22:40:50]   [311/3972] ✅ 093410
[2026-05-29 22:40:51]   [312/3972] ✅ 010670
[2026-05-29 22:40:54]   [313/3972] ✅ 121950
[2026-05-29 22:40:55]   [314/3972] ✅ 037380
[2026-05-29 22:40:57]   [315/3972] ✅ 045470
[2026-05-29 22:40:58]   [316/3972] ✅ 110310
[2026-05-29 22:41:00]   [317/3972] ✅ 091690
[2026-05-29 22:41:03]   [318/3972] ✅ 011800
[2026-05-29 22:41:07]   [319/3972] ✅ 080970
[2026-05-29 22:41:08]   [320/3972] ✅ 040020
[2026-05-29 22:41:10]   [321/3972] ✅ 065610
[2026-05-29 22:41:13]   [322/3972] ✅ 085990
[2026-05-29 22:41:16]   [323/3972] ✅ 149130
[2026-05-29 22:41:20]   [324/3972] ✅ 081930
[2026-05-29 22:41:23]   [325/3972] ✅ 007200
[2026-05-29 22:41:24]   [326/3972] ✅ 009010
[2026-05-29 22:41:26]   [327/3972] ✅ 900150
[2026-05-29 22:41:28]   [328/3972] ✅ 066300
[2026-05-29 22:41:31]   [329/3972] ✅ 081090
[2026-05-29 22:41:34]   [330/3972] ✅ 014900
[2026-05-29 22:41:37]   [331/3972] ✅ 080180
[2026-05-29 22:41:40]   [332/3972] ✅ 081200
[2026-05-29 22:41:43]   [333/3972] ✅ 025610
[2026-05-29 22:41:45]   [334/3972] ✅ 056710
[2026-05-29 22:41:47]   [335/3972] ✅ 900010
[2026-05-29 22:41:48]   [336/3972] ✅ 038720
[2026-05-29 22:41:51]   [337/3972] ✅ 064420
[2026-05-29 22:41:53]   [338/3972] ✅ 041030
[2026-05-29 22:41:55]   [339/3972] ✅ 123550
[2026-05-29 22:41:56]   [340/3972] ✅ 071530
[2026-05-29 22:41:57]   [341/3972] ✅ 019120
[2026-05-29 22:42:00]   [342/3972] ✅ 004010
[2026-05-29 22:42:03]   [343/3972] ✅ 124050
[2026-05-29 22:42:04]   [344/3972] ✅ 019260
[2026-05-29 22:42:07]   [345/3972] ✅ 123910
[2026-05-29 22:42:09]   [346/3972] ✅ 056810
[2026-05-29 22:42:12]   [347/3972] ✅ 008080
[2026-05-29 22:42:14]   [348/3972] ✅ 042820
[2026-05-29 22:42:15]   [349/3972] ✅ 038120
[2026-05-29 22:42:16]   [350/3972] ✅ 037240
